ApplicationName,LoggerName,RequestedURL,Details
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims?ClaimStatus[0]=Ineligible&StartDate=12/7/2015&cacheBust=1474516799739,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims?ClaimStatus[0]=Ineligible&StartDate=12/7/2015&cacheBust=1474516799739"",""transactionId"":""5c2f93d8-b6f4-4ec9-b692-598e536c532e"",""httpVerb"":""GET"",""message"":""Request Finished in 302 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims/?ClaimStatus[0]=Paid&ClaimSources[0]=ONLINE&ClaimSources[1]=MAILFAXED&ClaimSources[2]=AUTOREIMBURSED&StartDate=2/20/2014&cacheBust=1474516799768,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims/?ClaimStatus[0]=Paid&ClaimSources[0]=ONLINE&ClaimSources[1]=MAILFAXED&ClaimSources[2]=AUTOREIMBURSED&StartDate=2/20/2014&cacheBust=1474516799768"",""transactionId"":""24088492-c6f0-4cb2-82f5-0b5b4d30dc09"",""httpVerb"":""GET"",""message"":""Request Finished in 694 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims/?ClaimStatus[0]=Paid&ClaimSources[0]=ONLINE&ClaimSources[1]=MAILFAXED&ClaimSources[2]=AUTOREIMBURSED&StartDate=7/22/2015&cacheBust=1474516807487,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims/?ClaimStatus[0]=Paid&ClaimSources[0]=ONLINE&ClaimSources[1]=MAILFAXED&ClaimSources[2]=AUTOREIMBURSED&StartDate=7/22/2015&cacheBust=1474516807487"",""transactionId"":""29fbe855-a932-402d-8300-b50080d34bd5"",""httpVerb"":""GET"",""message"":""Request Finished in 255 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/logout,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/logout"",""transactionId"":""6ef888fd-34c5-4137-94fd-22afd5291555"",""httpVerb"":""GET"",""message"":""Request Finished in 8 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/"",""transactionId"":""b5a881a8-393a-462d-8385-c8126f59f0dd"",""httpVerb"":""GET"",""message"":""Request Finished in 1 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/vendor,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/vendor"",""transactionId"":""bc07ecd8-7163-434c-829c-d7b5c7b39ea9"",""httpVerb"":""GET"",""message"":""Request Finished in 7 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/brandable,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/brandable"",""transactionId"":""af451b99-7ecc-44b9-85d1-7227048b8a6e"",""httpVerb"":""GET"",""message"":""Request Finished in 5 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/main,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/main"",""httpVerb"":""GET"",""message"":""Request Finished in 27 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/vendor-blessed1,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/vendor-blessed1"",""httpVerb"":""GET"",""message"":""Request Finished in 41 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/app/styles/css/vendor-blessed2,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/app/styles/css/vendor-blessed2"",""httpVerb"":""GET"",""message"":""Request Finished in 39 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims/,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims/"",""transactionId"":""3b257620-3dc1-40b7-b3d1-8d7ac872a0f6"",""httpVerb"":""POST"",""message"":""Request Finished in 7572 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/documents?top=-1&type=CVR&cacheBust=1474516804502,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/documents?top=-1&type=CVR&cacheBust=1474516804502"",""transactionId"":""fa26730f-312d-4a95-96ba-9cf334bbd5a5"",""httpVerb"":""GET"",""message"":""Request Finished in 573 milliseconds""}"
SAMWB,SAMWB,http://www.ABC.com/sams/api/v1/claims?claimStatus[0]=Pending&top=-1&cacheBust=1474516805211,"{""httpResponseStatusCode"":200,""requestedUrl"":""http://www.ABC.com/sams/api/v1/claims?claimStatus[0]=Pending&top=-1&cacheBust=1474516805211"",""transactionId"":""61c1ec84-48c3-4d8d-9063-cc4a75a2faff"",""httpVerb"":""GET"",""message"":""Request Finished in 21 milliseconds""}"
